BreweryInWAList,Brewery,4,8,12,2,1,7,6,3,5,11,10,9,total
hideaway brewing company,HIDEAWAY BREWING COMPANY,2.25,4.58,3.03,2.16,2.67,4.5,4.0,1.34,2.67,2.66,4.32,2.83,37.010000000000005
high bluff brewing,HIGH BLUFF BREWING,0.0,0.32,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.32,0.66,0.5,1.96
hildegard ferments and botanicals,HILDEGARD FERMENTS AND BOTANICALS,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.89,0.0,8.44
hillbilly brewing company,HILLBILLY BREWING COMPANY,1.17,0.5,0.0,0.0,0.0,1.5,0.0,0.33,0.0,1.0,0.0,0.0,4.5
hoh river brewery,HOH RIVER BREWERY,2.0,6.51,5.66,5.11,0.0,3.02,6.03,6.31,5.42,8.39,13.28,6.82,68.55000000000001
holy mountain brewing company,HOLY MOUNTAIN BREWING COMPANY,0.0,250.54,186.32,124.11,243.1,243.69,204.24,213.74,325.49,183.5,415.76,0.0,2390.49
hood canal brewery,HOOD CANAL BREWING COMPANYHOOD CANAL BREWERY,14.71,15.6,4.2,10.56,7.54,18.76,14.59,11.61,7.34,0.0,16.17,8.11,129.19
hop chaos brewing company,HOP CHAOS BREWING COMPANY,0.0,5.0,13.0,1.0,7.0,15.0,0.0,10.0,5.0,0.0,10.0,3.0,69.0
hoquiam brewing company,HOQUIAM BREWING COMPANY,0.0,0.0,0.0,0.0,17.23,24.66,0.0,23.62,20.75,24.71,0.0,29.7,140.67
horse heaven hills brewery,HORSE HEAVEN HILLS BREWERY,5.0,10.0,5.0,0.0,5.0,5.0,10.0,15.0,15.0,5.0,5.0,5.0,85.0
humble abode brewing,HUMBLE ABODE BREWING,28.38,20.64,17.55,29.76,10.5,14.7,29.73,17.95,12.0,17.85,29.4,17.78,246.23999999999998
ice harbor brewing company,ICE HARBOR BREWING COMPANY,154.29,121.71,82.59,100.3,94.99,154.24,134.16,147.57,124.7,101.4,97.39,126.72,1440.0600000000002
