brewery,satellite_location,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link
Dungeness Brewing Company,,micro,4017 S Mt Angeles Road,Port Angeles,98362,Clallam,48.08885400,-123.41815900,2012,0,1,1,0,https://untappd.com/DungenessBrewingCompany
Dwinell Country Ales,,micro,206 West Broadway Street,Goldendale,98620,Klickitat,45.82292352,-120.82477930,2017,1,0,0,0,https://untappd.com/DwinellCountyAles
Dystopian State Brewing Company,,micro,611 S Baker St,Tacoma,98402,Pierce,47.25836177,-122.44330360,2016,0,0,0,0,https://untappd.com/DystopianStateBrewingCompany
E2W Brewing,,micro,12913 Shady Glen Ave SE,Olalla,98359,Kitsap,47.43246300,-122.594069,2020,0,1,1,1,https://untappd.com/E2WBrewing
E9 Brewing Company,,micro,2506 Fawcett Ave,Tacoma,98402,Pierce,47.23820600,-122.44002100,1995,0,0,1,0,https://untappd.com/EngineHouseNo9
E9 Firehouse and Gastropub,,brewpub,611 N Pine St,Tacoma,98406,Pierce,47.25643050,-122.47352300,1971,0,1,0,0,https://untappd.com/EngineHouseNo9
Echoes Brewing Company,,micro,19815 Viking Ave Nw,Poulsbo,98370,Kitsap,47.74292547,-122.65706590,2020,0,0,1,0,https://untappd.com/EchoesBrewing
El Sueñito Brewing Company,,micro,1926 Humboldt St,Bellingham,98225,Whatcom,48.75625625,-122.46754630,2023,0,0,0,0,https://untappd.com/ElSuenito
Elk Head Brewing Company,,micro,28120 Hwy 410 A-#10,Buckley,98321,Pierce,47.15905320,-122.05279000,2005,0,1,1,0,https://untappd.com/CMORGANROTH
Ellensburg Brewery Company,,brewpub,206 N Main St,Ellensburg,98926,Kittitas,46.99354528,-120.54842070,2021,0,0,0,0,https://untappd.com/EllensburgBrewery
Elliott Bay Brewing Company,Lake City,brewpub,12537 Lake City Way Northeast,Seattle,98125,King,47.71971200,-122.29510780,2001,1,0,1,0,https://untappd.com/ElliottBay
Elliott Bay Brewing Company,Genesee West Seattle,brewpub,4720 California Ave Sw,Seattle,98116,King,47.56067351,-122.38667240,2001,1,0,1,0,https://untappd.com/ElliottBay
Elliott Bay Brewing Company,Burien,large,255 SW 152nd St,Burien,98166,King,47.46677673,-122.33733610,2001,1,0,1,0,https://untappd.com/ElliottBay
Elysian Brewing,Capitol Hill,large,1221 E Pike St,Seattle,98122,King,47.61402422,-122.31646080,1999,0,0,1,0,https://untappd.com/ElysianBrewing
Elysian Brewing,Pioneer Square,large,542 1St Ave S,Seattle,98104,King,47.59710039,-122.33407070,1999,0,0,1,0,https://untappd.com/ElysianBrewing
Elysian Brewing,Industrial District,micro,5510 Airport Way S,Seattle,98108,King,47.55332430,-122.32058710,1999,0,0,1,0,https://untappd.com/ElysianBrewing
Ethereal Meads,,brewpub,18109 NE 72nd Ave,Battle Ground,98604,Clark,45.75311200,-122.59777600,2018,0,0,0,0,https://untappd.com/w/ethereal-meads/174093
Everybody's Brewing,,micro,151 E Jewitt Blvd,White Salmon,98672,Klickitat,45.72731560,-121.48538000,2009,1,1,1,0,https://untappd.com/EverybodysBrewing
Exit 16 Brewing,,micro,34202 NE Finalburg Rd,La Center,98629,Clark,45.86912200,-122.63181400,2022,0,0,0,0,https://untappd.com/Exit16Brewing
Explorer Brewing Company,,micro,209 Ash St,Kelso,98626,Cowlitz,46.14223043,-122.91203710,2022,1,0,1,0,https://untappd.com/ExplorerBrewingCompany
Fair Isle Brewing,,brewpub,936 NW 49th St,Seattle,98107,King,47.66446655,-122.36911850,2017,1,0,1,0,https://untappd.com/Fair_Isle_Brewing
Farmstrong Brewing Company,,micro,110 Stewart Rd,Mount Vernon,98273,Skagit,48.44308447,-122.34273460,2015,0,1,0,0,https://untappd.com/FarmStrong1
Fast Fashion Beer,,micro,1723 1st Ave S,Seattle,98134,King,47.58748220,-122.33446500,2021,0,0,1,0,https://untappd.com/FastFashion
Fathom and League Hop Yard Brewery,,micro,360 Grandview Dr,Sequim,98382,Clallam,48.10295000,-123.15689000,2010,0,1,1,0,https://untappd.com/w/fathom-and-league-hop-yard-brewery/11933
Fermentation Initiative,,micro,626 S Tacoma Way Suite D,Tacoma,98409,Pierce,47.23115343,-122.47290300,2019,0,0,1,0,https://untappd.com/w/fermentation-initiative/495513
Figurehead Brewing Company,,brewpub,4001 21St Ave W Unit B,Seattle,98199,King,47.65575400,-122.38350900,2016,1,1,1,0,https://untappd.com/FigureheadBrewingCompany
Fired Up Brewing,,Micro,1235 Main St,Colville,99114,Stevens,48.53258330,-117.90358000,2020,0,0,1,0,https://untappd.com/w/fired-up-brewing/385634
Five Dollar Ranch Brewing Company,,micro,1570 Beet Road,Walla Walla,99362,Walla Walla,46.00330493,-118.41844125,1999,1,0,1,0,https://untappd.com/FiveDollarRanchBrewing
Five Dons Brewing,,micro,1158 11th Ave,Longview,98632,Cowlitz,46.13417992,-122.93262870,2014,0,0,0,0,https://untappd.com/FiveDonsBrewing
Floodland Brewing,,brewpub,3806 Woodland Park Ave North Suite 100,Seattle,98103,King,47.65298328,-122.34348978,2018,0,1,1,0,https://untappd.com/w/floodland-brewing/379455
Flyers Restaurant and Brewery,,micro,32295 State Route 20,Oak Harbor,98277,Island,48.29909489,-122.65228560,2005,0,1,1,0,https://untappd.com/w/flyers-restaurant-and-brewery/538
Flying Bike Cooperative Brewery,,micro,8570 Greenwood Ave N,Seattle,98103,King,47.69127653,-122.35518700,2015,1,0,0,0,https://untappd.com/FlyingBikeCoop
Flying Lion Brewing,,micro,5041 Rainier Ave S,Seattle,98118,King,47.55599035,-122.28428250,2014,1,1,1,0,https://untappd.com/Flying_Lion_Brewing
Foggy Noggin Brewing,,micro,22329 5rd Avenue Se,Bothell,98021,Snohomish,47.79452600,-122.16108000,2010,1,1,1,0,https://untappd.com/foggynogginbrewing
For the Love of God Brewing,,micro,2617 W Northwest Blvd,Spokane,99205,Spokane,47.68542900,-117.44979090,2020,0,0,1,0,https://untappd.com/ForTheLoveOfGodBrewing
Formula Brewing,,micro,1875 NW Poplar Way,Issaquah,98027,King,47.54957800,-122.06624800,2020,1,0,1,0,https://untappd.com/Formula_Brewing
Fortside Brewing Company,,micro,2200 NE Andresen #B,Vancouver,98661,Clark,45.63847877,-122.60106777,2014,1,1,1,0,https://untappd.com/FortsideBrewing
Forward Operating Base Brewing Company,,brewpub,2750 Williamson Place NW #100,Dupont,98327,Pierce,47.10775330,-122.62308000,2017,0,1,1,0,https://untappd.com/FOBBrewingCo
