brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,leg_district,month,production,interpolated
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,February,26.39,1
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,March,35.22,0
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,April,19.85,0
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,May,19.85,0
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,June,21.58,0
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,July,29.86,1
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,August,38.14,0
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,September,19.55,0
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,October,19.68,0
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,November,19.72,0
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,December,21.58,0
Acorn Brewing,taproom,2105 E Meridian,Edgewood,98371,Pierce,47.237965,-122.293459,2021,1,0,https://untappd.com/Acorn_Brewing,31,total_annual,288.98,0
Airways Brewing Company,brewpub,8611 S 212th St,Kent,98031,King,47.411994,-122.2249666,2010,1,0,https://untappd.com/airwaysbrewing,33,January,34.16,0
Airways Brewing Company,brewpub,8611 S 212th St,Kent,98031,King,47.411994,-122.2249666,2010,1,0,https://untappd.com/airwaysbrewing,33,February,47.15,0
Airways Brewing Company,brewpub,8611 S 212th St,Kent,98031,King,47.411994,-122.2249666,2010,1,0,https://untappd.com/airwaysbrewing,33,March,54.68,0
Airways Brewing Company,brewpub,8611 S 212th St,Kent,98031,King,47.411994,-122.2249666,2010,1,0,https://untappd.com/airwaysbrewing,33,April,59.13,0
