brewery,satellite_location,flagship,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link,rating,total_visits,unique_visits,monthly_visits
Rail Hop'n Brewing Company,,1,brewpub,122 West Main Street Suite 101 B,Auburn,98001,King,47.3071471,-122.2315213,2017,0,1,1,0,https://untappd.com/RailHopnBrewingCompany,3.71,3953.0,1155.0,10.0
Railside Brewing,,1,micro,309 NE 76th St,Vancouver,98665,Clark,45.6768255,-122.66818,2012,0,1,1,0,https://untappd.com/RailSideBrewing,3.57,4025.0,1275.0,3.0
Rainy Daze Brewing,,1,brewpub,650 NW Bovela Ln #3,Poulsbo,98370,Kitsap,47.73971613,-122.6578393,2012,0,1,1,0,https://untappd.com/RainyDazeBrewing,3.81,32221.0,9199.0,79.0
RAM Restaurant and Brewery,,0,brewpub,10520 Quil Ceda Blvd,Tulalip,98271,Snohomish,48.0920236,-122.18619,1971,1,1,1,0,https://untappd.com/theRAM,3.62,210555.0,60961.0,118.0
RAM Restaurant and Brewery,,0,brewpub,3001 N Ruston Way,Tacoma,98403,Pierce,47.27964127,-122.4747009,1971,1,1,1,0,https://untappd.com/theRAM,3.62,210555.0,60961.0,118.0
RAM Restaurant and Brewery,,0,brewpub,103 35th Ave Se,Puyallup,98374,Pierce,47.15857171,-122.292781,1971,1,1,1,0,https://untappd.com/theRAM,3.62,210555.0,60961.0,118.0
RAM Restaurant and Brewery,,1,brewpub,10019 59th Ave Sw,Lakewood,98499,Pierce,47.16646601,-122.5154303,1971,1,1,1,0,https://untappd.com/theRAM,3.62,210555.0,60961.0,118.0
RAM Restaurant and Brewery,,0,brewpub,9020 Market Pl,Lake Stevens,98258,Snohomish,47.99798107,-122.1101016,1971,1,1,1,0,https://untappd.com/theRAM,3.62,210555.0,60961.0,118.0
RAM Restaurant and Brewery,,0,brewpub,8100 Freedom Lane Ne,Lacey,98516,Thurston,47.062162,-122.768971,1971,1,1,1,0,https://untappd.com/theRAM,3.62,210555.0,60961.0,118.0
RAM Restaurant and Brewery,,0,brewpub,512 Ramsay Way Ste 4-103,Kent,98032,King,47.3853319,-122.2349867,1971,1,1,1,0,https://untappd.com/theRAM,3.62,210555.0,60961.0,118.0
RAM Restaurant and Brewery,,0,brewpub,965 NE Park Drive,Issaquah,98029,King,47.542944,-122.017035,1971,1,1,1,0,https://untappd.com/theRAM,3.62,210555.0,60961.0,118.0
