brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
Decibel Brewing Company,micro,18204 Bothell Everett Hwy Suite C,Bothell,98012,Snohomish,47.8332561,-122.2103369,2016,0,1,https://untappd.com/DecibelBrewing,,6.02,,,,,,,,,,4.52,
Deep Draft Brewing,brewpub,3536 W Belfair Valley Rd,Bremerton,98312,Kitsap,47.5291651,-122.699005,2016,0,0,https://untappd.com/Deep_Draft_Brewing_Co,12.13,14.26,18.58,15.57,19.88,23.17,25.46,21.93,20.99,16.5,17.06,10.34,215.87
Diamond Knot Brewing Company,brewpub,621 Front St,Mukilteo,98275,Snohomish,47.94855427,-122.3049752,1993,1,0,https://untappd.com/diamondknot,207.84,214.13,375.71,296.93,367.95,308.92,274.73,370.69,279.6,282.43,311.28,183.75,3473.96
Dick's Brewing Company,taproom,3516 Galvin Road,Centralia,98531,Lewis,46.73549248,-122.9999643,1994,0,0,https://untappd.com/DicksBrewingCompany,208.76,89.05,112.2,135.35,118.46,101.57,133.63,165.69,197.75,144.72,91.68,32.27,1531.1299999999999
Dirty Couch Brewing,taproom,2715 W Fort St,Seattle,98199,King,47.66117377,-122.3919126,2017,0,0,https://untappd.com/DirtyCouchBrewing,,,,33.12,,17.28,,,,,61.86,,
Discovery Bay Brewing,brewpub,948 North Park Ave,Port Townsend,98368,Jefferson,48.1066899,-122.8026616,2018,0,0,https://untappd.com/DiscoveryBayBrewing,7.1,6.56,9.29,10.45,11.77,11.19,14.37,13.36,11.2,9.48,4.74,6.3,115.81
District Brewing,taproom,520 Main St,Mt Vernon,98273,Skagit,48.41945088,-122.3387976,2021,1,0,https://untappd.com/w/district-brewing/461833,25.36,30.38,118.03,71.86,72.95,139.61,103.2,96.51,66.87,82.53,113.79,63.05,984.14
Doghaus Brewery,brewpub,321 9th St,Leavenworth,98826,Chelan,47.5948746,-120.660143,2015,1,0,https://untappd.com/DoghausBrewery,3.75,10.25,5.75,9.0,11.5,17.25,13.25,17.25,16.25,14.0,4.25,7.0,129.5
Doomsday Brewing Company,brewpub,421 C St Unit 1B,Washougal,98671,Clark,45.58082254,-122.3732983,2012,0,0,https://untappd.com/DoomsdayBrewingCompany,31.0,30.5,39.0,33.5,31.0,37.5,36.5,41.5,34.0,32.0,32.0,27.0,405.5
Double Bluff Brewing Company,micro,112 Anthes Ave,Langley,98260,Island,48.04026045,-122.4095264,2015,1,0,https://untappd.com/DBLFBrewing,8.23,9.35,14.84,14.03,14.03,12.58,16.94,14.35,12.42,11.29,12.1,6.77,146.93
Downpour Brewing,brewpub,10991 NE State Highway 104,Kingston,98346,Kitsap,47.80129209,-122.5002286,2014,0,0,https://untappd.com/Downpour_Brewing,21.0,21.0,12.0,12.0,12.0,15.0,13.5,12.0,24.0,24.0,24.0,24.0,214.5
Dreadnought Brewing,micro,16726 146th St SE Suite 153,Monroe,98272,Snohomish,47.864151,-122.006187,2015,0,0,https://untappd.com/DreadnoughtBrewing-brewer,4.5,4.0,5.5,7.5,9.5,9.0,8.5,8.5,8.5,8.75,9.0,9.0,92.25
Dru Bru,micro,10 Pass Life Way,Snoqualmie Pass,98068,King,47.4211528,-121.4124,2014,1,0,https://untappd.com/DruBru,206.37,302.96,337.66,302.57,327.29,442.43,433.26,466.01,519.14,314.67,360.73,365.75,4378.84
Dubtown Brewing Company,brewpub,201 Main Avenue South,Renton,98057,King,47.481022,-122.2044169,2019,0,0,https://untappd.com/w/dubtown-brewing-company/436623,5.0,19.0,4.5,14.5,19.0,9.5,4.5,19.0,5.0,14.5,19.0,9.5,143.0
Dunagan Irish Pub and Brewery,micro,3222 56th St,Gig Harbor,98335,Pierce,47.252925,-122.439425,2021,0,0,https://untappd.com/DunaganBrewingCompany,5.5,5.5,5.5,4.5,4.0,3.5,3.0,4.0,5.0,6.0,6.0,6.0,58.5
Dungeness Brewing Company,micro,4017 S Mt Angeles Road,Port Angeles,98362,Clallam,48.088854,-123.418159,2012,0,0,https://untappd.com/DungenessBrewingCompany,,,,,,,,,0.8,0.8,,,
Dwinell Country Ales,micro,206 West Broadway Street,Goldendale,98620,Klickitat,45.82292352,-120.8247793,2017,1,0,https://untappd.com/DwinellCountyAles,1.52,10.8,6.26,8.1,7.28,6.24,6.8,17.94,8.3,7.81,4.52,0.41,85.98
