index,brewery_wa,brewery_prod,month,production
3514,backwoods brewing company,BACKWOODS BREWING COMPANY,October,255.23
3902,backwoods brewing company,BACKWOODS BREWING COMPANY,November,140.69
4290,backwoods brewing company,BACKWOODS BREWING COMPANY,December,229.86
4678,backwoods brewing company,BACKWOODS BREWING COMPANY,total_annual,2663.1800000000003
23,bad jimmy's brewing company,BAD JIMMYS BREWERY,January,
411,bad jimmy's brewing company,BAD JIMMYS BREWERY,February,15.1
799,bad jimmy's brewing company,BAD JIMMYS BREWERY,March,20.0
1187,bad jimmy's brewing company,BAD JIMMYS BREWERY,April,64.46
1575,bad jimmy's brewing company,BAD JIMMYS BREWERY,May,22.4
1963,bad jimmy's brewing company,BAD JIMMYS BREWERY,June,26.99
2351,bad jimmy's brewing company,BAD JIMMYS BREWERY,July,25.99
2739,bad jimmy's brewing company,BAD JIMMYS BREWERY,August,22.83
3127,bad jimmy's brewing company,BAD JIMMYS BREWERY,September,16.5
3515,bad jimmy's brewing company,BAD JIMMYS BREWERY,October,8.66
3903,bad jimmy's brewing company,BAD JIMMYS BREWERY,November,5.0
4291,bad jimmy's brewing company,BAD JIMMYS BREWERY,December,9.0
4679,bad jimmy's brewing company,BAD JIMMYS BREWERY,total_annual,236.93
24,badass backyard brewing,BADASS BACKYARD BREWING,January,
412,badass backyard brewing,BADASS BACKYARD BREWING,February,3.0
800,badass backyard brewing,BADASS BACKYARD BREWING,March,
1188,badass backyard brewing,BADASS BACKYARD BREWING,April,3.0
1576,badass backyard brewing,BADASS BACKYARD BREWING,May,
1964,badass backyard brewing,BADASS BACKYARD BREWING,June,2.0
2352,badass backyard brewing,BADASS BACKYARD BREWING,July,4.5
2740,badass backyard brewing,BADASS BACKYARD BREWING,August,4.5
3128,badass backyard brewing,BADASS BACKYARD BREWING,September,1.0
3516,badass backyard brewing,BADASS BACKYARD BREWING,October,
3904,badass backyard brewing,BADASS BACKYARD BREWING,November,
4292,badass backyard brewing,BADASS BACKYARD BREWING,December,9.0
4680,badass backyard brewing,BADASS BACKYARD BREWING,total_annual,27.0
25,badger mountain brewing company,BADGER MOUNTAIN BREWING,January,11.0
413,badger mountain brewing company,BADGER MOUNTAIN BREWING,February,
801,badger mountain brewing company,BADGER MOUNTAIN BREWING,March,43.1
1189,badger mountain brewing company,BADGER MOUNTAIN BREWING,April,22.59
1577,badger mountain brewing company,BADGER MOUNTAIN BREWING,May,29.4
1965,badger mountain brewing company,BADGER MOUNTAIN BREWING,June,28.74
2353,badger mountain brewing company,BADGER MOUNTAIN BREWING,July,28.64
2741,badger mountain brewing company,BADGER MOUNTAIN BREWING,August,21.66
3129,badger mountain brewing company,BADGER MOUNTAIN BREWING,September,26.81
3517,badger mountain brewing company,BADGER MOUNTAIN BREWING,October,11.61
3905,badger mountain brewing company,BADGER MOUNTAIN BREWING,November,14.06
4293,badger mountain brewing company,BADGER MOUNTAIN BREWING,December,21.25
4681,badger mountain brewing company,BADGER MOUNTAIN BREWING,total_annual,258.86
26,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,January,62.22
414,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,February,58.44
802,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,March,79.15
1190,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,April,92.48
1578,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,May,83.84
1966,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,June,83.22
2354,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,July,113.68
2742,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,August,104.54
3130,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,September,91.84
3518,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,October,100.46
3906,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,November,68.35
4294,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,December,71.56
4682,bainbridge brewing company,BAINBRIDGE ISLAND BREWING,total_annual,1009.78
27,bale breaker brewing company,BALE BREAKER BREWING COMPANY,January,1535.06
415,bale breaker brewing company,BALE BREAKER BREWING COMPANY,February,1276.72
803,bale breaker brewing company,BALE BREAKER BREWING COMPANY,March,1822.97
1191,bale breaker brewing company,BALE BREAKER BREWING COMPANY,April,1900.88
1579,bale breaker brewing company,BALE BREAKER BREWING COMPANY,May,1802.26
1967,bale breaker brewing company,BALE BREAKER BREWING COMPANY,June,2140.11
